X,CH1,CH2,
Second,Volt,Volt,
-1.1999999e-06,-4.60000e-03,-4.80000e-04,
-1.1960000e-06,-4.80000e-03,-4.00000e-04,
-1.1920000e-06,-5.00000e-03,-4.80000e-04,
-1.1879999e-06,-5.40000e-03,-4.80000e-04,
-1.1840000e-06,-6.00000e-03,-7.20000e-04,
-1.1799999e-06,-5.80000e-03,-8.00000e-04,
-1.1760000e-06,-6.20000e-03,-7.20000e-04,
-1.1720000e-06,-6.20000e-03,-8.00000e-04,
-1.1679999e-06,-6.40000e-03,-8.80000e-04,
-1.1640000e-06,-7.00000e-03,-8.00000e-04,
-1.1600000e-06,-7.20000e-03,-9.60000e-04,
-1.1559999e-06,-7.00000e-03,-8.80000e-04,
-1.1520000e-06,-7.20000e-03,-1.04000e-03,
-1.1480000e-06,-7.20000e-03,-1.12000e-03,
-1.1440000e-06,-7.60000e-03,-1.20000e-03,
-1.1400000e-06,-7.40000e-03,-1.20000e-03,
-1.1359999e-06,-7.40000e-03,-1.28000e-03,
-1.1320000e-06,-7.40000e-03,-1.12000e-03,
-1.1280000e-06,-7.60000e-03,-1.28000e-03,
-1.1239999e-06,-7.60000e-03,-1.28000e-03,
-1.1200000e-06,-7.40000e-03,-1.28000e-03,
-1.1160000e-06,-7.40000e-03,-1.20000e-03,
-1.1119999e-06,-7.20000e-03,-1.36000e-03,
-1.1080000e-06,-7.00000e-03,-1.36000e-03,
-1.1039999e-06,-7.20000e-03,-1.44000e-03,
-1.1000000e-06,-7.00000e-03,-1.44000e-03,
-1.0960000e-06,-6.80000e-03,-1.44000e-03,
-1.0919999e-06,-6.60000e-03,-1.28000e-03,
-1.0880000e-06,-6.40000e-03,-1.36000e-03,
-1.0840000e-06,-6.40000e-03,-1.04000e-03,
-1.0799999e-06,-5.80000e-03,-1.44000e-03,
-1.0760000e-06,-5.60000e-03,-1.28000e-03,
-1.0719999e-06,-5.40000e-03,-1.20000e-03,
-1.0680000e-06,-5.20000e-03,-1.20000e-03,
-1.0640000e-06,-5.00000e-03,-1.20000e-03,
-1.0599999e-06,-4.60000e-03,-1.12000e-03,
-1.0560000e-06,-4.00000e-03,-1.20000e-03,
-1.0520000e-06,-3.80000e-03,-1.12000e-03,
-1.0479999e-06,-3.40000e-03,-8.80000e-04,
-1.0440000e-06,-3.20000e-03,-1.04000e-03,
-1.0399999e-06,-3.00000e-03,-9.60000e-04,
-1.0360000e-06,-2.20000e-03,-6.40000e-04,
-1.0320000e-06,-2.00000e-03,-7.20000e-04,
-1.0279999e-06,-1.40000e-03,-7.20000e-04,
-1.0240000e-06,-1.20000e-03,-7.20000e-04,
-1.0200000e-06,-8.00000e-04,-6.40000e-04,
-1.0159999e-06,-4.00000e-04,-6.40000e-04,
-1.0120000e-06,0.00000e+00,-4.80000e-04,
-1.0080000e-06,6.00000e-04,-5.60000e-04,
-1.0040000e-06,8.00000e-04,-4.80000e-04,
-1.0000000e-06,1.20000e-03,-3.20000e-04,
-9.9599993e-07,1.80000e-03,-8.00000e-05,
-9.9199997e-07,2.20000e-03,-2.40000e-04,
-9.8800001e-07,2.60000e-03,-1.60000e-04,
-9.8399994e-07,3.00000e-03,-8.00000e-05,
-9.7999998e-07,3.40000e-03,8.00000e-05,
-9.7600002e-07,3.60000e-03,0.00000e+00,
-9.7199995e-07,4.20000e-03,8.00000e-05,
